Date,Title,Author
4/1/2007,Heyday,Kurt Anderson
4/8/2007,For A Few Demons More,Kim Harrison
4/8/2007,Burning Bright,Tracy Chevalier
4/15/2007,Obsession,Jonathan Kellerman
4/15/2007,The Alibi Man,Tami Hoag
4/15/2007,Absolute Fear,Lisa Jackson
4/15/2007,Hunter's Moon,Randy Wayne White
4/15/2007,The Book of Air and Shadows,
4/22/2007,I Heard That Song Before,Mary Higgins Clark
4/22/2007,Kingdom Come,Tim LaHaye & Jerry B. Jenkins
4/22/2007,White Night,Jim Butcher
4/22/2007,The Reluctant Fundamentalist,Mohsin Hamid
4/22/2007,Boomsday,Christopher Buckley
4/29/2007,Fresh Disasters,Stuart Woods
4/29/2007,Sleeping with Strangers,Eric Jerome Dickey
4/29/2007,The Land of Mango Sunsets,Dorothea Benton Frank
4/29/2007,Obession,Karen Robards
5/6/2007,The Children of Húrin,J.R.R. Tolkein
5/6/2007,The Woods,Harlan Coben
5/6/2007,The Good Husband of Zebra Drive,Alexander McCall Smith
5/6/2007,The Blue Zone,Andrew Gross
5/13/2007,Simple Genius ,David Baldacci
5/13/2007,Body Surfing,Anita Shreve
5/13/2007,Back on Blossom Street,Debbie Macomber
5/13/2007,The River Knows,Amanda Quick
5/20/2007,The Yiddish Policemen's Union,Michael Chabon
5/20/2007,Rant,Chuck Palahniuk
5/20/2007,All Together Dead,Charlaine Harris
5/20/2007,No Humans Involved,Kelley Armstrong
5/20/2007,Dream When You're Feeling Blue,Elizabeth Berg
5/27/2007,The 6th Target,James Patterson & Maxine Paetro
5/27/2007,Buddah,Deepak Chopra
5/27/2007,Up in Honey's Room,Elmore Leonard
6/3/2007,Bad Luck and Trouble,Lee Child
6/3/2007,Invisible Prey,John Sandford
6/3/2007,Pearl Harbor,Newt Gingrich
6/3/2007,The Quest,Wilbur Smith
6/3/2007,Falling Man,Don DeLillo
6/10/2007,A Thousand Splendid Suns,Khaled Hosseini
6/10/2007,The Overlook,Michael Connelly
6/17/2007,The Good Guy,Dean Koontz
6/17/2007,Sacrifice,Karen Traviss
6/17/2007,Lawman,Diana Palmer
6/24/2007,The Harlequin,Laurell K. Hamilton
6/24/2007,The Navigator,Clive Cussler
6/24/2007,On Chesil Beach,Ian McEwan
6/24/2007,The Last Summer (Of You and Me) ,Ann Brashares
6/24/2007,The Bourne Betrayal,Eric Van Lustbader
6/24/2007,The Sleeping Doll,Jeffery Deaver
6/24/2007,Spare Change,Robert B. Parker
7/1/2007,Blaze,Richard Bachman
7/1/2007,Double Take,Catherine Coulter
7/8/2007,Lean Mean Thirteen,Janet Evanovich
7/8/2007,Innocent as Sin,Elizabeth Lowell
7/8/2007,Second Chance,Jane Green
7/8/2007,The Many,Holly Peterson
7/15/2007,Bungalow 2,Danielle Steel
7/15/2007,Drop Dead Beautiful,Jackie Collins
7/15/2007,The Double Agents,W.E.B. Griffin
7/15/2007,Peony in Love,Lisa See
7/15/2007,New England White,Stephen L. Carter
7/22/2007,The Quickie,James Patterson
7/22/2007,The Judas Strain,James Rollins
7/29/2007,High Noon,Nora Roberts
7/29/2007,Killer Weekend,Ridley Pearson
8/5/2007,The Tin Roof Blowdown,James Lee Burke
8/5/2007,Up Close and Dangerous,Linda Howard
8/5/2007,The First Commandment,Brad Thor
8/5/2007,Someone to Love,Jude Deveraux
8/12/2007,The Secret Servant,Daniel Silva
8/12/2007,Justice Denied,J.A. Jance
8/12/2007,Thursday Next,Jasper Fforde
8/19/2007,Beyond Reach,Karin Slaughter
8/19/2007,In at the Death,Harry Turtledove
8/19/2007,The Maytrees,Annie Dillard
8/26/2007,Devil May Cry,Sherrilyn Kenyon
8/26/2007,Sandworms of Dune,Brian Herbert & Kevin J. Anderson
8/26/2007,Spook Country,William Gibson
8/26/2007,Waking with Enemies,Eric Jerome Dickey
8/26/2007,Critical,Robin Cook
8/26/2007,The Burnt House,Faye Kellerman
8/26/2007,The Fourth Coming,Megan McCafferty
9/2/2007,Play Dirty,Sandra Brown
9/2/2007,Force of Nature,Suzanne Brockman
9/2/2007,Loving Frank,Nancy Horan
9/9/2007,Away,Amy Bloom
9/9/2007,The Sanctuary,Raymond Khoury
9/9/2007,Sweet Revenge,Diane Mott Davidson
9/9/2007,Power Play,Joseph Finder
9/16/2007,The Wheel of Darkness,Douglas Preston & Lincoln Child
9/16/2007,Dark Possession,Christine Feehan
9/16/2007,Bones to Ashes,Kathy Reichs
9/16/2007,The Elves of Cintra,Terry Brooks
9/16/2007,Lord John and the Botherhood of the Blade,Diana Gabaldon
9/23/2007,Tree of Smoke,Denis Johnson
9/23/2007,Heartsick,Chelsea Cain
9/23/2007,Songs Without Words,Ann Packer
9/23/2007,The Brief Wonderous Life of Oscar Wao,Junot Diaz
9/30/2007,You've Been Warned,James Patterson & Howard Roughan
9/30/2007,Pontoon,Garrison Keillor
9/30/2007,The Wednesday Letters,Jason F. Wright
9/30/2007,Garden Spells,Sarah Addison Allen
9/30/2007,The 47th Samurai,Stephen Hunter
10/7/2007,Dead Heat,Dick Francis & Felix Francis
10/8/2007,Making Money,Terry Pratchett
10/9/2007,Jonathan's Story,Julia London & Alina Adams
10/10/2007,The Bone Garden,Tess Gerritsen
10/7/2007,Dexter in the Dark,Jeff Lindsay
10/14/2007,Playing for Pizza,John Grisham
10/14/2007,The Choice,Nicholas Sparks
10/14/2007,Shoot Him if He Runs,Stuart Woods
10/14/2007,Bridge of Sighs,Richard Russo
10/14/2007,The Orc King,R.A. Salvatore
10/14/2007,Run,Ann Patchett 
10/21/2007,Dark of the Moon,John Sandford
10/21/2007,Exit Ghost,Philip Roth
10/21/2007,Where Angels Go,Debbie Macomber
10/28/2007,World Without End,Ken Follett
10/28/2007,The Gift,Richard Paul Evens
10/28/2007,Fatal Revenant,Stephen R. Donaldson 
11/4/2007,The Almost Moon,Alice Sebold
11/4/2007,Pandora's Daughter,Iris Johansen
11/4/2007,Bloodfever,Karen Marie Moning
11/4/2007,The Abstinence Teacher,Tom Perrotta
11/4/2007,Death Star,Michael Reaves & Steve Perry 
11/11/2007,Book of the Dead,Patricia Cornwell
11/11/2007,A Lick of Frost,Laurell K. Hamilton
11/11/2007,Now and Then,Robert B. Parker
11/18/2007,Protect and Defend,Vince Flynn
11/18/2007,Home to Holly Springs,Jan Karon
11/18/2007,Amazing Grace,Danielle Steel
11/18/2007,Everlasting,Katheen E. Woodiwiss
11/18/2007,All Through the Night,Suzanne Brockman
11/18/2007,The Race,Richard North Patterson 
11/25/2007,Stone Cold,David Baldacci
11/25/2007,Creation in Death,J.D. Robb
11/25/2007,The Chase,Clive Cussler
11/25/2007,Rhett Butler's People,donald McCraig
11/25/2007,Third Degree,Greg Iles
12/2/2007,Double Cross,James Patterson
12/2/2007,Confessor,Terry Goodkind
12/9/2007,,
12/16/2007,The Darkest Evening of the Year,Dean Koontz
12/23/2007,"""T"" is for Trespass",Sue Grafton
12/23/2007,For One More Day,Mitch Albom
12/30/2007,The Venetian Betrayal,Steve Berry
1/6/2008,,
1/13/2008,Shadow Music,Julie Garwood
1/13/2008,Darth Bane: Rule of Two,Drew Karpyshyn
1/20/2008,The Shooters,W.E.B. Griffin
1/20/2008,People of the Book,Geraldine Brooks
1/20/2008,Blood Dreams,Kay Hooper
1/20/2008,Bleeding Kansas,Sara Paretsky
1/27/2008,Plum Lucky,Janet Evanovich
1/27/2008,Blasphemy,Douglas Preston
1/27/2008,The Senator's Wife,Sue Miller
2/3/2008,Beverly Hills Dead,Stuart Woods
2/10/2008,Duma Key,Stephen King
2/10/2008,Sword Song,Bernard Cornwell
2/10/2008,The Secret Between Us,Barbara Delinksy 
2/10/2008,Sin No More,Kimberla Lawson Roby
2/17/2008,The Appeal,John Grisham
2/17/2008,Sizzle and Burn,Jayne Anne Krentz
2/17/2008,The Purrfect Murder,Rita Mae Brown & Sneaky Pie Brown
2/24/2008,7th Heaven,James Patterson & Maxine Paetro
2/24/2008,Stranger in Paradise,Robert B. Parker
2/24/2008,Where The Heart Leads,Stephanie Laurens
2/24/2008,Firefly Lane,Kristin Hannah
2/24/2008,Beautiful Children,Charles Bock
2/24/2008,Charm! ,Kendall Hart
3/2/2008,The Killing Ground,Jack Higgins
3/2/2008,The Ghost War,Alex Berenson
3/2/2008,The Monsters of Templeton,Lauren Groff
3/2/2008,Celebutantes,Amanda Goldberg & Ruthanna Khalighi Hopper
3/9/2008,Strangers in Death,J.D. Robb
3/9/2008,Lady Killer,Lisa Scottoline
3/9/2008,The First Patient,Michael Palmer
3/9/2008,An Incomplete Revenge,Jacqueline Winspear
3/16/2008,Remember Me? ,Sophia Kinsella
3/16/2008,The Outlaw Demon Wails,Kim Harrison
3/16/2008,Honor Thyself,Danielle Steel
3/16/2008,Betrayal,John Lescroart
3/16/2008,Deep Dish,Mary Kay Andrews
3/23/2008,Change of Heart ,Jodi Picoult
3/23/2008,Lush Life,Richard Price
3/23/2008,A Prisoner Birth,Jeffrey Archer
3/23/2008,Christ the Lord: The Road to Cana,Anne Rice
3/30/2008,Killer Heat,Linda Fairstein
3/30/2008,Another Thing to Fall,Laura Lippman
4/6/2008,Dead Heat,Joel C. Rosenberg
4/6/2008,Black Widow,Randy Wayne White
4/6/2008,The Dark Tide,Andrew Gross
4/13/2008,Compulsion,Jonathan Kellerman
4/13/2008,Hollywood Crows,Joseph Wambaugh
4/13/2008,Lost Souls,Lisa Jackson
4/13/2008,Blue-Eyed Devil,Lisa Kleypas
4/13/2008,Buckingham Palace Gardens,Anne Perry
4/13/2008,Wrath of a Mad God,Raymond E. Feist
4/20/2008,Unaccustomed Earth,Jhumpa Lahiri
4/20/2008,Small Favor,Jim Butcher
4/20/2008,Belong To Me,Marisa de los Santos
4/20/2008,Winter Study ,Nevada Barr
4/20/2008,Guilty,Karen Robards
4/20/2008,The Ten-Year Nap,Meg Wolitzer
4/27/2008,Where Are You Now?,Mary Higgins Clark
4/27/2008,Certain Girls,Jennifer Weiner
4/27/2008,Bulls Island,Dorothea Benton Frank
4/27/2008,Zapped,Carol Higgins Clark
5/4/2008,Hold Tight,Harlan Coben
5/4/2008,The Miracle at Speedy Motors,Alexander McCall Smith
5/4/2008,The Third Angel,Alice Hoffman 
5/11/2008,The Whole Truth,David Baldacci
5/11/2008,Quicksand,Iris Johansen
5/11/2008,Santa Fe Dead,Stuart Woods
5/11/2008,The Third Circle,Amanda Quick
5/18/2008,Sundays at Tiffany's,James Patterson & Gabrielle Charbonnet
5/18/2008,Twenty Wishes,Debbie Macomber 
5/18/2008,Child 44,Tom Rob Smith
5/18/2008,A Plague of Doves,Lousie Erdrich 
5/25/2008,TheHost,Stephenie Meyer
5/25/2008,Phantom Prey,John Sandford
5/25/2008,Careless in Red,Elizabeth George
5/25/2008,From Dead to Worse,Charlaine Harris
5/25/2008,Skeletons at the Feast,Chris Bohjalian
6/1/2008,Love the One You're With,Emily Giffin
6/1/2008,Invincible,Troy Denning
6/1/2008,Swine Not?,Jimmy Buffet
6/1/2008,Bright Shiny Morning,James Frey
6/1/2008,The Steel Wave,Jeff Shaara
6/8/2008,Odd Hours,Dean Koontz
6/8/2008,The Front,Patricia Cornwell
6/8/2008,Snuff,Chuck Palahniuk
6/8/2008,The Art of Racing in the Rain,Garth Stein
6/15/2008,Blood Noir,Laurell K. Hamilton
6/15/2008,Chasing Harry Winston,Lauren Weisberger
6/15/2008,Devil May Care,Sebastian Faulks
6/15/2008,Shadow of Power,Steve Martini
6/22/2008,Nothing to Lose,Lee Child
6/22/2008,Plauge Ship,Clive Cussler
6/22/2008,Death and Honor,W.E.B. Griffin
6/22/2008,The Spies of Warsaw,Alan Furst
6/29/2008,Sail,James Patterson & Howard Roughan
6/29/2008,The Broken Window,Jeffery Deaver
6/29/2008,Married Lovers,Jackie Collins
6/29/2008,The Story of Edgar Sawtelle,David Wroblewski
7/6/2008,Fearless Fourteen,Janet Evanovich
7/6/2008,No Choice but Seduction,Johanna Lindsey
7/6/2008,The Beach House,Jane Green
7/13/2008,Tailspin,Catherine Coulter
7/13/2008,Rouge ,Danielle Steel
7/13/2008,The Last Oracle,James Rollins
7/13/2008,America America,Ethan Canin
7/20/2008,The Last Patriot,Brad Thor
7/20/2008,Chasing Darkness,Robert Crais
7/20/2008,Death Angel,Linda Howard
7/27/2008,Tribute,Nora Roberts
7/27/2008,Swan Peak,James Lee Burke
7/27/2008,Silent Thunder,Iris Johansen & Roy Johansen
8/3/2008,Rules of Deception,Christopher Reich
8/3/2008,Just Too Good To Be True,E. Lynn Harris
8/3/2008,Say Goodbye,Lisa Gardner
8/3/2008,Killer View,Ridley Pearson
8/10/2008,Moscow Rules,Daniel Silva
8/10/2008,Into the Fire,Suzanne Brockmann
8/10/2008,Damage Control,J. A. Jance
8/17/2008,The Bourne Sanction,Eric Van Lustbader
8/17/2008,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer & Annie Barrows
8/17/2008,The Lace Reader,Brunonia Barry
8/17/2008,The Clone Wars,Karen Traviss
8/17/2008,Fractured,Karin Slaughter
8/24/2008,Acheron,Sherrilyn Kenyon
8/24/2008,Foreign Body,Robin Cook
8/24/2008,The Assassin,Stephen Coonts
8/24/2008,The Gargoyle,Andrew Davidson
8/31/2008,Smoke Screen,Sandra Brown
8/31/2008,The Mercedes Coffin,Faye Kellerman
8/31/2008,Off Season,Anne Rivers Siddons
8/31/2008,The 19th Wife,David Ebershoff
9/7/2008,The Force Unleashed,Sean Williams
9/7/2008,Being Elizabeth,Barbara Taylor Bradford
9/7/2008,Rough Justice,Jack Higgins
9/14/2008,Devil Bones,Kathy Reichs
9/14/2008,The Gypsy Morph,Terry Brooks
9/14/2008,Silks,Dick Francis & Felix Francis
9/21/2008,Dark Curse,Christine Feehan
9/21/2008,The Book of Lies,Brad Meltzer
9/21/2008,American Wife,Curtis Sittenfeld
9/21/2008,Home,Marilynne Robinson
9/21/2008,Sweetheart,Chelsea Cain
9/28/2008,Anathem,Neal Stephenson
9/28/2008,The Keepsake,Tess Gerritsen
9/28/2008,Supreme Courtship,Christopher Buckley
10/5/2008,The Other Queen,Phillippa Gregory
10/5/2008,Faefever,Karen Marie Moning
10/5/2008,The Girl with the Dragon Tattoo,Stieg Larsson
10/5/2008,Indignation,Philip Roth
10/5/2008,Paul of Dune,Brian Herbert
10/5/2008,Order 66,
10/12/2008,Heat Lightning,John Sandford
10/12/2008,The Given Day,Dennis Lehane
10/12/2008,Hot Mahogany,Stuart Woods
10/12/2008,One Fifth Avenue,Candance Bushnell
10/12/2008,Tsar,Ted Bell
10/12/2008,The Comforts of a Muddy Saturday,Alexander McCall Smith
10/19/2008,The Lucky One,Nicholas Sparks 
10/19/2008,A Cedar Cove Christmas,Debbie Macomber
10/26/2008,The Pirate King,R.A. Salvatore
10/26/2008,A Most Wanted Man,John le Carre
10/26/2008,Grace,Richard Paul Evams
11/2/2008,The Brass Verdict,Michael Connelly
11/2/2008,A Lion Among Men,John Le Carre
11/2/2008,A Wallflower Christmas,Lisa Kleypas
11/2/2008,The Fire,Katherine Neville
11/9/2008,Extreme Measures,Vince Flynn
11/10/2008,Boens,Jonathan Kellerman
11/11/2008,Rough Weather,Robert B. Parker
11/12/2008,Testimony ,Anita Shreve
11/13/2008,Dark Summer,Iris Johansen
11/9/2008,Millennium Falcon,James Luceno
11/16/2008,The Gate House,Nelson DeMille
11/16/2008,A Good Woman,Danielle Steel
11/16/2008,A Cedar Cove Christmas,Debbie Macomber
11/23/2008,Divine Justice ,David Baldacci
11/23/2008,Salvation in Death,J.D. Robb
11/23/2008,Swallowing Darkness,Laurell K. Hamilton
11/23/2008,Midnight,Sister Souljah 
11/30/2008,The Christmas Sweater ,Glenn Beck
11/30/2008,Just After Sunset,Stehpen King
11/30/2008,The Hour I First Believed,Wally Lamb
11/30/2008,A Mercy ,Toni Morrison
11/30/2008,The Bodies Left Behind,Jeffery Deaver
11/30/2008,Ender in Exile,Orson Scott Card
12/7/2008,Cross Country,James Patterson
12/7/2008,The Private Patient,P.D. James
12/7/2008,Dashing Through the Snow,Mary Higgins Clark
12/14/2008,Arctic Drift,Clive Cussler
12/14/2008,Your Heart Belongs to Me,Dean Koontz
12/14/2008,Princep's Fury,Jim Butcher
12/21/2008,Scarpetta,Patricia Cornwell
12/21/2008,The Charlemagne Pursuit,Steve Berry
12/28/2008,,
1/4/2009,,
1/11/2009,,
1/18/2009,Black Ops,W.E.B Griffin
1/18/2009,Running Hot,Jayne Anne Krentz
1/25/2009,Plum Spooky,Janet Evanovich
1/25/2009,Eclipse,Richard North Patterson 
2/1/2009,Mounting Fears,Stuart Woods
2/1/2009,The Piano Teacher,Janice Y.K. Lee
2/1/2009,Beat the Reaper,Josh Bazell
2/8/2009,Agincourt,Bernard Cornwell
2/15/2009,The Associate,John Grisham
2/15/2009,What I Did For Love,Susan Elizabeth Phillips
2/15/2009,Dark of Night,Suzanne Brockman
2/15/2009,A Darker Place,Jack Higgins
2/15/2009,Basketball Jones,E. Lynn Harris
2/22/2009,Run For Your Life,James Patterson & Michael Ledwidge
2/22/2009,Bone Crossed,Patricia Briggs
2/22/2009,True Colors,Kristin Hannah
2/22/2009,Very Valentine,Adriana Trigiani
3/1/2009,Fool,Christopher Moore
3/1/2009,The Women,T.C. Boyle
3/8/2009,Heart and Soul,Maeve Binchy
3/8/2009,Dog On It,Spencer Quinn
3/8/2009,While My Sister Sleeps,Barbara Delinsky 
3/8/2009,Lethal Legacy ,Linda Fairstein
3/15/2009,Promises in Death,J.D. Robb
3/15/2009,"White Witch, Black Curse",Kim Harrison
3/15/2009,One Day At A Time,Danielle Steel
3/15/2009,Night and Day,Robert B. Parker
3/15/2009,Terminal Freeze,Lincoln Child
3/15/2009,Cream Puff Murder,Joanne Fluke
3/15/2009,Temptation and Surrender ,Stephanie Laurens
3/22/2009,Handle with Care,Jodi Picoult
3/22/2009,Storm from the Shadows,David Weber
3/22/2009,Paths of Glory,Jeffery Archer
3/22/2009,Don't Look Twice,Andrew Gross
3/29/2009,Corsair,Clive Cussler
3/29/2009,Dead Silence,Randy Wayne White
3/29/2009,The Help,Kathryn Stockett
4/5/2009,Hotel on the Corner of Bitter and Sweet,Jamie Ford
4/12/2009,True Detectives,Jonathan Kellerman
4/12/2009,Outcast,Aaron Allston
4/12/2009,Pursuit,Karen Robards
4/12/2009,Execution Dock,Anne Perry
4/12/2009,The Long Fall,Walter Mosley
4/19/2009,Long Lost,Harlan Coben
4/19/2009,Lavender Morning,Jude Deaveraux 
4/19/2009,Malice ,Lisa Jackson
4/19/2009,Smooth Talking Stranger,Lisa Kleypas
4/19/2009,The Lost Quilter,Jennifer Chiaverini
4/19/2009,Rides ia Dread Region,Raymond E. Feist
4/26/2009,Turn Coat,Jim Butcher
4/26/2009,Just Take My Heart,Mary Higgins Clark
4/26/2009,Fatally Flaky,Diane Mott Davidson
4/26/2009,Boderline,Nevada Barr
4/26/2009,Cursed,Carol Higgins Clark
4/26/2009,Once a Runner,John L. Parker Jr.
5/3/2009,Look Again,Lisa Scottoline
5/3/2009,Boneman's Daughters,Ted Dekker
5/3/2009,One Second After,William R. Forstchen
5/3/2009,Prayers for Sale,Sandra Dallas
5/3/2009,Perfect Fifths ,Megan McCafferty
5/10/2009,First Family,David Baldacci
5/10/2009,Tea Time for the Traditionally Built,Alexander McCall Smith
5/10/2009,Loitering With Intent,Stuart Woods
5/10/2009,The Perfect Poison,Amanda Quick
5/10/2009,Deadlock,Iris Johansen
5/10/2009,Arthas ,Christie Golden 
5/17/2009,The 8th Confession,James Patterson
5/17/2009,Lover Avenged,J.R. Ward
5/17/2009,Summer on Blossom Street,Debbie Macomber
5/17/2009,The Language of Bees,Laurie R. King
5/17/2009,Home Safe,Elizabeth Berg
5/24/2009,Dead and Gone,Charlaine Harris
5/24/2009,Pygmy,Chuck Palahniuk
5/24/2009,The Legend of Sigurd and Gudrun,J. R. R. Tolkein
5/24/2009,Brimstone,Robert B. Parker
5/31/2009,Wicked Prey,John Sandford
5/31/2009,Cemetary Dance,Douglas Preston & Lincoln Child
5/31/2009,Assegai ,Wilbur Smith
5/31/2009,The Last Child,John Hart
5/31/2009,Road Dogs,Elmore Leonard
6/7/2009,Gone Tomorrow,Lee Child
6/7/2009,The Sign,Raymond Khoury
6/7/2009,Seducing an Angel,Mary Balogh
6/14/2009,The Scarecrow,Michael Connelly
6/14/2009,Shanghai Girls,Lisa See
6/14/2009,Heartless,Kathryn Stockett
6/21/2009,Skin Trade,Laurell K. Hamilton
6/21/2009,Medusa,Clive Cussler
6/21/2009,Matters of the Heart,Danielle Steel
6/21/2009,The Strain,Guillermo del Toro & Chuck Hogan
6/21/2009,Undead and Unwelcome,MaryJanice Davidson
6/28/2009,Relentless,Dean Koontz
6/28/2009,The Physick Book of Deliverance Dane,Katherine Howe
6/28/2009,The Bourne Deception,Eric Van Lustbader
6/28/2009,Roadside Crosses,Jeffery Deaver
7/5/2009,Knockout,Catherine Coulter
7/5/2009,The Angel's Game,Carlos Ruiz Zafon 
7/5/2009,The Neighbor,Lisa Gardner
7/5/2009,Dune Road,Jane Green
7/12/2009,Finger Lickin' Fifteen,Janet Evanovich
7/12/2009,The Doomsday Key,James Rollins
7/12/2009,Omen,Christie Golden
7/12/2009,The Fixer Upper,Mary Kay Andrews
7/19/2009,Swimsuit,James Patterson & Maxine Paetro
7/19/2009,The Apostle,Brad Thor
7/19/2009,A Plague of Secrets,John Lescroft
7/19/2009,Return to Sullivans Island,Dorothea Benton Frank
7/26/2009,Black Hills,Nora Roberts
7/27/2009,The Devil's Punchbowl,Greg Iles
7/28/2009,Burn,Linda Howard
7/29/2009,The Castaways,Elin Hilderbrand
7/26/2009,By Heresies Distressed,David Weber
8/2/2009,Best Friends Forever,Jennifer Weiner
8/2/2009,Rain Gods,James Lee Burke
8/2/2009,Guardian of Lies,Steve Martini
8/2/2009,Undone,Karin Slaughter
8/9/2009,The Defector,Daniel Silva
8/9/2009,Twenties Girl,Sophie Kinsella
8/9/2009,Fire and Ice,J.A. Jance
8/16/2009,The Girl Who Played With Fire,Stieg Larsson
8/16/2009,Hot Pursuit,Suzanne Brockermann
8/23/2009,Bad Moon Rising,Sherrilyn Kenyon
8/23/2009,That Old Capte Magic,Richard Russo
8/23/2009,Inherent Vice,Thomas Pynchon
8/23/2009,The Traffickers,W.E.B. Griffin
8/23/2009,Rules of Vengence,Christopher Reich
8/23/2009,The Winds of Dune,Brian Herbert & Kevin J. Anderson
8/30/2009,South of Broad,Pat Conroy
8/30/2009,Smash cut,Sandra Brown
8/30/2009,The Eleventh Victim,Nancy Grace
8/30/2009,The Magicians,Lev Grossman
8/30/2009,Blindman's Bluff,Faye Kellerman
8/30/2009,Intervention,Robin Cook
9/6/2009,The White Queen,Philippa Gregory
9/6/2009,Dreamfever,Karen Marie Moning
9/6/2009,Abyss,Troy Denning
9/6/2009,The Law of Nines,Terry Goodkind
9/6/2009,Vanished,Joseph Finder
9/6/2009,A Princess of Landover,Terry Brooks
9/12/2009,Alex Cross's Trial,James Patternson & Richard DiLallo
9/12/2009,206 Bones,Kathy Reichs
9/12/2009,Even Money,Dick Francis & Felix Frances
9/12/2009,The Sword of the Lady,S. M. Stirling
9/12/2009,Resurrecting Midnight,Eric Jerome Dickey
9/20/2009,Dark Slayer,Christine Feehan
9/20/2009,Spartan Gold,Clive Cussler
9/20/2009,Homer & Langley,E. L. Doctorow
9/20/2009,A Gate at the Stars,Lorrie Moore
9/20/2009,The Spire,Richard North Patterson
9/27/2009,The Last Song,Nicholas Sparks
9/27/2009,Dexter By Design,Jeff Lindsay
10/4/2009,The Lost Symbol,Dan Brown
10/11/2009,An Echo in the Bone,Diana Gabaldon
10/11/2009,The Year of the Flood,Margaret Atwood
10/11/2009,Hardball,Sara Paretsky
10/11/2009,A Change in Altitude,Anite Shreve
10/11/2009,The Lost Art of Gratitude,Alexander McCall Smith
10/11/2009,Mama Dearest,E. Lynn Harris
10/18/2009,Rough Country,John Sandford
10/18/2009,Her Fearful Symmetry,Audrey Niffenegger
10/18/2009,The Perfect Christmas,Debbie Macomber
10/18/2009,"Juliet, Naked",Nick Hornby
10/18/2009,Frostbitten,Kelley Armstrong
10/25/2009,A Touch of Dead,Charlaine Harris
10/25/2009,The Professional,Robert B. Parker 
10/25/2009,Evidence,Jonathan Kellerman
10/25/2009,Half Broke Horses,Jeannette Walls
10/25/2009,The Ghost King,R.A. Salvatore
10/25/2009,The Christmas List,Richard Paul Evans
10/25/2009,The Unseen Academicals,Terry Pratchett
11/1/2009,Pursuit of Honor,Vince Flynn
11/1/2009,Nine Dragons,Michael Connelly
11/1/2009,Heat Wave,Richard Castle
11/1/2009,Death Troopers,Joe Schreiber
11/1/2009,Wolf Hall,Hilary Mantel
11/8/2009,The Scarpetta Factor,Patricia Cornwell
11/8/2009,Southern Lights,Danielle Steel
11/8/2009,Blood Game,Iris Johansen
11/8/2009,To Try Men's Souls,Newt Gringrich 
11/15/2009,The Gathering Storm,Robert Jorden & Brandon Sanderson
11/15/2009,True Blue,David Baldacci
11/15/2009,Last Night in Twisted River,John Irving
11/15/2009,Grave Secret,Charlaine Harris
11/15/2009,Angel Time,Anne Rice
11/22/2009,Ford Country,John Grisham 
11/22/2009,Kindred in Death,J.D. Robb
11/22/2009,The Lacuna,Barbara Kingsolver
11/22/2009,No Less Than Victory,Jeeff Shaara
11/29/2009,Under the Dome,Stephen King
11/29/2009,Ice,Linda Howard
11/29/2009,New York,Edward Rutherford
12/6/2009,"I, Alex Cross",James Patterson 
12/6/2009,The Wrecker,Clive Cussler
12/13/2009,Pirate Latitudes,Michael Crichton
12/13/2009,Breathless,Dean Koontz
12/13/2009,First Lord's Fury,Jim Butcher
12/20/2009,"""U"" is for Undertow",Sue Grafton
12/20/2009,The Paris Vendetta,Steve Barry
12/27/2009,Devine Misdemeanors,Laurell K. Hamilton
1/3/2010,,
1/10/2010,,
1/17/2010,Sizzle,Julie Garwood
1/17/2010,Fired Up,Jayne Ann Krentz
1/17/2010,The Honor Of Spies,W. E. B. Griffin & William E. Butterworth IV
1/17/2010,Deeper Than The Dead,Tami Hoag
1/17/2010,Altar Of Eden,James Rollins
1/17/2010,"I, Sniper",Stephen Hunter
1/24/2010,Noahs Compass,Anne Tyler
1/24/2010,Impact,Douglas Preston
1/31/2010,The First Rule,Robert Crais
1/31/2010,The Swan Thieves,Elizabeth Kostova
1/31/2010,Treasure Hunt,John Lescroart
1/31/2010,Roses,Leila Meacham
1/31/2010,Not My Daughter,Barbara Delinsky
2/7/2010,Kisser,Stuart Woods
2/7/2010,The Burning Land,Bernard Cornwell
2/7/2010,The Wolf At The Door,Jack Higgins
2/14/2010,Blood Ties,Kay Hooper
2/21/2010,Worst Case,James Patterson
2/21/2010,Flirt,Laurell K. Hamilton
2/21/2010,Winter Garden,Kristin Hannah
2/21/2010,Secrets Of Eden,Chris Bohjalian
2/28/2010,Poor Little Bitch Girl,Jackie Collins
2/28/2010,"Brava, Valentine",Adriana Trogiani
2/28/2010,The Postmistress,Sarah Blake
2/28/2010,The Midnight House,Alex Berenson
3/7/2010,The Man From Beijing,Henning Mankell
3/7/2010,The Three Weissmanns Of Westport,Cathleene Schine
3/7/2010,Horns,Joe Hill
3/7/2010,The Last Surgeon,Michael Palmer
3/14/2010,Fantasy In Death,J. D. Robb
3/14/2010,Black Magic Sanction,Kim Harrison
3/14/2010,Split Image,Robert B. Parker
3/14/2010,Big Girl,Danielle Steel
3/14/2010,ApPle Turnover Murder,Joanne Fluke
3/21/2010,House Rules,Jodi Picoult
3/21/2010,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith
3/28/2010,The Silent Sea,Clive Cussler & Jack Du Brul
3/28/2010,Backlash,Aaron Allston
3/28/2010,Deep Shadow,Randy Wayne White
