Date,Title,Author
1/14/2001,From the Corner of His Eye,Dean Kootz
1/14/2001,Protect and Defend,Richard North Patterson
1/21/2001,Riley in the Morning,Sandra Brown
1/21/2001,Shadow of Hegemon,Orson Scott Card
1/28/2001,The First Counsel,Brad Meltzer
1/28/2001,The Kill Artist,Daniel Silva
2/4/2001,A Day Late and a Dollar Short,Terry McMillan
2/4/2001,Special Ops ,W.E.B. Griffin
2/4/2001,Lost and Found,Jayne Ann Krentz
2/11/2001,A Darkness More Than Night,Michael Connelly
2/11/2001,Hidden Passions: Secrets From the Diaries of Tabitha Lenox,Harper Entertainment
2/18/2001,The Cat Who Smelled a Rat,Lilian Jackson Braun
2/18/2001,Darth Maul: Shadow Hunter,Michael Reaves
2/18/2001,Mystic River,Dennis Lehane
2/18/2001,Blood Lure,Nevada Barr
2/25/2001,A Painted House,John Grisham
2/25/2001,This Heart of Mine,Susan Elizabeth Phillips 
3/11/2001,The Bonesetter's Daughter,Amy Tan
3/11/2001,Edge of Danger,Jack Higgins
3/11/2001,My Dream of You,Nuala O'Faolain
3/18/2001,The Vendetta Defence,Lisa Scottoline
3/18/2001,Commitments ,Barbara Delinsky
3/18/2001,Claws and Effect,Rita Mae Brown
3/25/2000,1st To Die,James Patterson
3/25/2000,Scarlet Feather,Maeve Binchy
3/25/2000,Plain Jane,Fern Michaels
3/25/2000,Krondor: Tear of the Gods,Raymond E. Feist
4/1/2000,The Devil's Own,Sandra Brown
4/8/2001,Dreamcatcher,Stephen King
4/8/2001,The Villa,Nora Roberts
4/8/2001,Potshot,Robert B. Parker
4/15/2001,The Triumph of Katie Byrne,Barbara Taylor Bradford
4/15/2001,The Last Time They Met,Anita Shreve
4/15/2001,Summer Island,Kristin Hannah
4/22/2001,The Skies of Pern,Anne McCaffrey
4/22/2001,Slighty Shady,Amanda Quick
4/22/2001,Sticks & Scones,Diane Mott Davidson
4/29/2001,A Common Life,Jan Karon
4/29/2001,Lone Eagle ,Danielle Steel
4/29/2001,Death in Holy Orders,P.D. James
4/29/2001,Dragons of a Lost Star,Margaret Weis & Tracy Hickman
5/6/2001,On The Street Where You Live,Mary Higgins Clark
5/13/2001,Cold Paradise,Stuart Woods
5/13/2001,Heart of a Warrior,Johanna Lindsey
5/13/2001,Looking Back,Belva Plain
5/13/2001,The Amazing Adventures of Kavalier & Clay,Michael Chabon
5/20/2001,Lord of the Silent,Elizabth Peters
5/20/2001,The Summerhouse,Jude Deveraux
5/20/2001,Back When We Were Grownups,Anne Tyler
5/20/2001,The Blue Nowhere,Jeffery Deaver
5/27/2001,Chosen Prey,John Sandofrd
6/3/2001,Warrior Class,Dale Brown
6/3/2001,The Cold Six Thousand ,James Ellroy
6/10/2001,Choke,Chuck Palahniuk 
6/17/2001,Final Target,Iris Johansen
6/17/2001,Cloak of Deception,James Luceno
6/24/2001,"""P"" is for Peril",Sue Grafton
6/24/2001,May There Be a Road,Louis L'Amour
7/1/2001,Leap of Faith,Danielle Steel
7/1/2001,Bittterroot,James Lee Burke
7/1/2001,Moving Target,Iris Johansen
7/1/2001,Empire Falls,Richard Russo
7/8/2001,Seven Up,Janet Evanovich
7/8/2001,Cane River,Lalita Tademy
7/8/2001,Hollywod Wives- The New Generation,Jackie Collins
7/8/2001,American Gods,Neil Gaiman
7/15/2001,The Jury,Steve Matini 
7/15/2001,A Traitor to Memory,Elizabeth George
7/15/2001,Between Lovers,Eric Jerome Dickey
7/15/2001,The Wind is Done Gone,Alice Randall
7/22/2001,The Fourth Hand,John Irving
7/22/2001,Rise to Rebellion,Jeff Shaara
7/22/2001,Tell No One,Harlan Coben
7/29/2001,Any Way the Wind Blows,E. Lynn Harris
7/29/2001,Dead Sleep,Greg Iles 
7/29/2001,How to be Good,Nick Hornby
8/5/2001,Suzanne's Diary for Nicholas,James Patterson
8/5/2001,Open Season,Linda Howard
8/5/2001,Fatal Voyage,Kathy Reichs
8/12/2001,Blue Diary,Alice Hoffman
8/12/2001,Lawrence Sanders: McNally's Chance,Vincent Lardo
8/19/2001,The Woman Next Door,Barbara Delinsky
8/19/2001,America,Stephen Coonts
8/26/2001,Hemlock Bay,Catherine Coulter
8/26/2001,Hostage,Robert Crais
8/26/2001,Paradise Lost,J.A. Jance
8/26/2001,What you Owe Me,Bebe Moore Campbell
9/2/2001,Valhalla Rising,Clive Cussler
9/2/2001,The Forgotten,Faye Kellerman
9/9/2001,The Smoke Jumper,Nicholas Evans
9/9/2001,The Associate,Phillip Margolin
9/9/2001,The Surgeon,Tess Gerritsen
9/16/2001,Envy,Sandra Brown
9/16/2001,Shock,Robin Cook
9/16/2001,Lake Wobegon Summer 1956,Garrison Keillor
9/23/2001,The Corrections,Johnathan Franzen
9/23/2001,Long Time No See,Susan Isaacs
9/23/2001,Total Recall,Sara Paretsky
9/30/2001,Black House,Stephen King & Peter Straub 
9/30/2001,Mercy ,Julie Garwood
9/30/2001,Fury,Salman Rushdie
10/7/2001,A Bend in the Road,Nicholas Sparks
10/7/2001,The Voyage of the Jerle Shannara: Antrax,Terry Brooks
10/7/2001,The Blue Last,Martha Grimes
10/14/2001,The Deadhouse,Linda Fairstein
10/21/2001,The Best Loved Poems of Jacqueline Kennedy Onassis,
10/21/2001,Death in Paradise ,Robert B. Parker 
10/21/2001,Dune: House Corrino,Brian Herbert & Kevin J. Anderson
10/21/2001,Seperatoin of Power,Vince Flynn
10/21/2001,The Mitford Snowmen,Jan Karon
10/21/2001,The Family,Mario Puzo
10/28/2001,Isle of Dogs,Patricia Cornwell
10/28/2001,Narcissus in Chains,Laurell K. Hamilton
